"start_lat","start_lng","member_casual","mean_duration"
41.81,-87.72,"member",9
41.81,-87.71,"casual",11
41.81,-87.71,"member",10
41.81,-87.7,"casual",12
41.81,-87.7,"member",9
41.81,-87.69,"casual",13
41.81,-87.69,"member",11
41.81,-87.68,"casual",10
41.81,-87.68,"member",13
41.81,-87.67,"casual",13
41.81,-87.67,"member",18
41.81,-87.66,"casual",13
41.81,-87.66,"member",14
41.81,-87.64,"casual",16
41.81,-87.64,"member",15
41.81,-87.63,"casual",11
41.81,-87.63,"member",11
41.81,-87.62,"casual",14
41.81,-87.62,"member",13
41.81,-87.61,"casual",15
41.81,-87.61,"member",16
41.81,-87.6,"casual",15
41.81,-87.6,"member",17
41.81,-87.59,"member",6
41.814,-87.66659,"casual",17
41.814,-87.66659,"member",15
41.81409,-87.59701,"casual",30
41.81409,-87.59701,"member",13
41.81621,-87.63482,"casual",18
41.81621,-87.63482,"member",7
41.8165,-87.60658,"casual",24
41.8165,-87.60658,"member",14
41.81666,-87.61941,"casual",17
41.81666,-87.61941,"member",11
41.8191,-87.64328,"casual",19
41.8191,-87.64328,"member",14
41.82,-87.72,"casual",14
41.82,-87.72,"member",11
41.82,-87.7,"casual",12
41.82,-87.7,"member",13
41.82,-87.69,"casual",12
41.82,-87.69,"member",11
41.82,-87.65,"casual",17
41.82,-87.65,"member",17
41.82,-87.64,"casual",18
41.82,-87.64,"member",13
41.82,-87.63,"casual",14
41.82,-87.63,"member",15
41.82,-87.62,"casual",12
41.82,-87.62,"member",15
41.82,-87.61,"casual",17
41.82,-87.61,"member",16
41.82,-87.6,"casual",25
41.82,-87.6,"member",20
41.82168,-87.6216,"casual",18
41.82168,-87.6216,"member",16
41.82299,-87.6071,"casual",36
41.82299,-87.6071,"member",19
41.82302,-87.62657,"casual",24
41.82302,-87.62657,"member",17
41.82319,-87.6766,"casual",21
41.82319,-87.6766,"member",16
41.82346,-87.66558,"casual",20
41.82346,-87.66558,"member",14
41.82361,-87.65093,"casual",14
41.82361,-87.65093,"member",14
41.82446,-87.59814,"casual",26
41.82446,-87.59814,"member",24
41.8246,-87.61678,"casual",19
41.8246,-87.61678,"member",14
41.82671,-87.68314,"casual",26
41.82671,-87.68314,"member",18
41.82706,-87.64572,"casual",20
41.82706,-87.64572,"member",13
41.82879,-87.6806,"casual",15
41.82879,-87.6806,"member",14
41.83,-87.69,"casual",18
41.83,-87.69,"member",11
41.83,-87.68,"casual",14
41.83,-87.68,"member",10
41.8301,-87.6703,"casual",16
41.8301,-87.6703,"member",13
41.83066,-87.64717,"casual",16
41.83066,-87.64717,"member",12
41.83069,-87.65621,"casual",17
41.83069,-87.65621,"member",15
41.83071,-87.64126,"casual",15
41.83071,-87.64126,"member",11
41.83078,-87.6325,"casual",15
41.83078,-87.6325,"member",10
41.83104,-87.6268,"casual",17
41.83104,-87.6268,"member",11
41.83127,-87.6088,"casual",31
41.83127,-87.6088,"member",16
41.83138,-87.61803,"casual",18
41.83138,-87.61803,"member",12
41.83453,-87.63182,"casual",16
41.83453,-87.63182,"member",10
41.83473,-87.62581,"casual",18
41.83473,-87.62581,"member",8
41.8349,-87.61793,"casual",16
41.8349,-87.61793,"member",7
41.83621,-87.61353,"casual",26
41.83621,-87.61353,"member",11
41.8367,-87.72564,"member",5
41.8378,-87.65114,"casual",16
41.8378,-87.65114,"member",12
41.8382,-87.64514,"casual",16
41.8382,-87.64514,"member",11
41.83846,-87.63541,"casual",14
41.83846,-87.63541,"member",10
41.83856,-87.60822,"casual",35
41.83856,-87.60822,"member",23
41.83884,-87.62186,"casual",20
41.83884,-87.62186,"member",10
41.83921,-87.66561,"casual",13
41.83921,-87.66561,"member",12
41.84,-87.73,"casual",13
41.84,-87.73,"member",16
41.84,-87.72,"casual",10
41.84,-87.72,"member",18
41.84,-87.71,"casual",9
41.84,-87.71,"member",13
41.84,-87.7,"casual",15
41.84,-87.7,"member",10
41.84,-87.69,"casual",16
41.84,-87.69,"member",10
41.84152,-87.68513,"casual",18
41.84152,-87.68513,"member",15
41.84163,-87.65743,"casual",17
41.84163,-87.65743,"member",12
41.84171,-87.62694,"casual",18
41.84171,-87.62694,"member",11
41.84205,-87.617,"casual",22
41.84205,-87.617,"member",11
41.84273,-87.63549,"casual",18
41.84273,-87.63549,"member",11
41.84358,-87.64537,"casual",16
41.84358,-87.64537,"member",13
41.84368,-87.69497,"casual",19
41.84368,-87.69497,"member",16
41.84448,-87.70201,"casual",15
41.84448,-87.70201,"member",13
