"start_lat","start_lng","member_casual","rideable_type","n"
41.74372,-87.63409,"casual","classic_bike",65
41.74372,-87.63409,"casual","docked_bike",15
41.74372,-87.63409,"casual","electric_bike",49
41.74372,-87.63409,"member","classic_bike",38
41.74372,-87.63409,"member","electric_bike",42
41.74392,-87.57522,"casual","classic_bike",30
41.74392,-87.57522,"casual","docked_bike",4
41.74392,-87.57522,"casual","electric_bike",26
41.74392,-87.57522,"member","classic_bike",16
41.74392,-87.57522,"member","electric_bike",7
41.74412,-87.59903,"casual","classic_bike",36
41.74412,-87.59903,"casual","docked_bike",3
41.74412,-87.59903,"casual","electric_bike",86
41.74412,-87.59903,"member","classic_bike",20
41.74412,-87.59903,"member","electric_bike",25
41.74453,-87.56506,"casual","classic_bike",51
41.74453,-87.56506,"casual","docked_bike",4
41.74453,-87.56506,"casual","electric_bike",12
41.74453,-87.56506,"member","classic_bike",37
41.74453,-87.56506,"member","electric_bike",11
41.74462,-87.55121,"casual","classic_bike",66
41.74462,-87.55121,"casual","docked_bike",5
41.74462,-87.55121,"casual","electric_bike",57
41.74462,-87.55121,"member","classic_bike",26
41.74462,-87.55121,"member","electric_bike",53
41.74656,-87.586,"casual","classic_bike",30
41.74656,-87.586,"casual","docked_bike",6
41.74656,-87.586,"casual","electric_bike",39
41.74656,-87.586,"member","classic_bike",84
41.74656,-87.586,"member","electric_bike",40
41.74736,-87.58005,"casual","classic_bike",8
41.74736,-87.58005,"casual","docked_bike",1
41.74736,-87.58005,"casual","electric_bike",16
41.74736,-87.58005,"member","classic_bike",3
41.74736,-87.58005,"member","electric_bike",1
41.75,-87.68,"casual","electric_bike",116
41.75,-87.68,"member","electric_bike",352
41.75,-87.67,"casual","electric_bike",41
41.75,-87.67,"member","electric_bike",55
41.75,-87.66,"casual","electric_bike",90
41.75,-87.66,"member","electric_bike",18
41.75,-87.65,"casual","electric_bike",29
41.75,-87.65,"member","electric_bike",19
41.75,-87.64,"casual","electric_bike",24
41.75,-87.64,"member","electric_bike",16
41.75,-87.63,"casual","electric_bike",38
41.75,-87.63,"member","electric_bike",21
41.75,-87.61,"casual","electric_bike",71
41.75,-87.61,"member","electric_bike",118
41.75,-87.6,"casual","electric_bike",84
41.75,-87.6,"member","electric_bike",126
41.75,-87.58,"casual","electric_bike",67
41.75,-87.58,"member","electric_bike",23
41.75,-87.57,"casual","electric_bike",91
41.75,-87.57,"member","electric_bike",65
41.75,-87.56,"casual","electric_bike",84
41.75,-87.56,"member","electric_bike",56
41.75079,-87.62442,"casual","classic_bike",209
41.75079,-87.62442,"casual","docked_bike",35
41.75079,-87.62442,"casual","electric_bike",163
41.75079,-87.62442,"member","classic_bike",145
41.75079,-87.62442,"member","electric_bike",83
41.75094,-87.61379,"casual","classic_bike",76
41.75094,-87.61379,"casual","docked_bike",12
41.75094,-87.61379,"casual","electric_bike",43
41.75094,-87.61379,"member","classic_bike",33
41.75094,-87.61379,"member","electric_bike",25
41.75117,-87.58534,"casual","classic_bike",38
41.75117,-87.58534,"casual","docked_bike",7
41.75117,-87.58534,"casual","electric_bike",46
41.75117,-87.58534,"member","classic_bike",48
41.75117,-87.58534,"member","electric_bike",38
41.75129,-87.59755,"casual","classic_bike",34
41.75129,-87.59755,"casual","docked_bike",17
41.75129,-87.59755,"casual","electric_bike",34
41.75129,-87.59755,"member","classic_bike",9
41.75129,-87.59755,"member","electric_bike",25
41.75173,-87.55281,"casual","classic_bike",50
41.75173,-87.55281,"casual","docked_bike",14
41.75173,-87.55281,"casual","electric_bike",95
41.75173,-87.55281,"member","classic_bike",139
41.75173,-87.55281,"member","electric_bike",37
41.75178,-87.5785,"casual","classic_bike",24
41.75178,-87.5785,"casual","docked_bike",2
41.75178,-87.5785,"casual","electric_bike",38
41.75178,-87.5785,"member","classic_bike",7
41.75178,-87.5785,"member","electric_bike",11
41.75182,-87.56521,"casual","classic_bike",94
41.75182,-87.56521,"casual","docked_bike",9
41.75182,-87.56521,"casual","electric_bike",81
41.75182,-87.56521,"member","classic_bike",105
41.75182,-87.56521,"member","electric_bike",23
41.7522,-87.6637,"casual","classic_bike",37
41.7522,-87.6637,"casual","docked_bike",2
41.7522,-87.6637,"casual","electric_bike",28
41.7522,-87.6637,"member","classic_bike",17
41.7522,-87.6637,"member","electric_bike",13
41.75249,-87.6439,"casual","classic_bike",59
41.75249,-87.6439,"casual","docked_bike",6
41.75249,-87.6439,"casual","electric_bike",76
41.75249,-87.6439,"member","classic_bike",11
41.75249,-87.6439,"member","electric_bike",51
41.75317,-87.60503,"casual","classic_bike",49
41.75317,-87.60503,"casual","docked_bike",6
41.75317,-87.60503,"casual","electric_bike",39
41.75317,-87.60503,"member","classic_bike",27
41.75317,-87.60503,"member","electric_bike",70
41.75697,-87.62462,"casual","classic_bike",45
41.75697,-87.62462,"casual","docked_bike",1
41.75697,-87.62462,"casual","electric_bike",61
41.75697,-87.62462,"member","classic_bike",15
41.75697,-87.62462,"member","electric_bike",34
41.75712,-87.57584,"casual","classic_bike",29
41.75712,-87.57584,"casual","docked_bike",19
41.75712,-87.57584,"casual","electric_bike",48
41.75712,-87.57584,"member","classic_bike",58
41.75712,-87.57584,"member","electric_bike",35
41.75787,-87.54939,"casual","classic_bike",48
41.75787,-87.54939,"casual","docked_bike",32
41.75787,-87.54939,"casual","electric_bike",93
41.75787,-87.54939,"member","classic_bike",65
41.75787,-87.54939,"member","electric_bike",47
41.75797,-87.63121,"casual","classic_bike",43
41.75797,-87.63121,"casual","docked_bike",2
41.75797,-87.63121,"casual","electric_bike",53
41.75797,-87.63121,"member","classic_bike",11
41.75797,-87.63121,"member","electric_bike",18
41.75836,-87.61414,"casual","classic_bike",30
41.75836,-87.61414,"casual","docked_bike",2
41.75836,-87.61414,"casual","electric_bike",65
41.75836,-87.61414,"member","classic_bike",78
41.75836,-87.61414,"member","electric_bike",30
41.75849,-87.60641,"casual","classic_bike",29
41.75849,-87.60641,"casual","docked_bike",3
41.75849,-87.60641,"casual","electric_bike",56
41.75849,-87.60641,"member","classic_bike",95
41.75849,-87.60641,"member","electric_bike",94
41.75867,-87.58688,"casual","classic_bike",62
41.75867,-87.58688,"casual","docked_bike",22
41.75867,-87.58688,"casual","electric_bike",69
41.75867,-87.58688,"member","classic_bike",151
